页面名称,功能模块,详细功能描述,产品经理(人天),前端工程师(人天),后端工程师(人天),测试工程师(人天)
管理端-考试管理页面,参与统计,查看考试参与统计数据，包括参与人数、通过率、平均分、最高分。,0.3,0.8,1,0.5
管理端-学习资料管理页面,资料列表展示,展示所有学习资料列表，支持分页、按分类筛选、按名称搜索，显示资料标题、类型、大小、上传时间等信息。,0.3,0.8,0.5,0.3
管理端-学习资料管理页面,资料上传,上传学习资料，支持PDF、Word、图片、视频等格式，填写资料标题、描述、分类、预计学习时长。,0.3,1,0.8,0.5
管理端-学习资料管理页面,资料编辑删除,编辑学习资料的标题和描述，删除不需要的学习资料。,0.2,0.5,0.5,0.3
管理端-学习资料管理页面,资料分类管理,管理学习资料分类，支持添加、编辑、删除分类，按分类组织资料。,0.2,0.8,0.5,0.3
管理端-学习资料管理页面,关联模板,将学习资料关联到考试模板，建立资料与考试的关联关系。,0.2,0.5,0.5,0.3
管理端-积分管理页面,积分排名,查看员工积分排行榜，按积分高低排序，显示排名、姓名、部门、积分等信息。,0.3,0.8,0.5,0.3
管理端-积分管理页面,积分明细,查看个人积分明细，显示积分获取记录、来源、时间等信息。,0.3,0.8,0.5,0.3
管理端-积分管理页面,手动调整,手动调整员工积分，支持增加或减少积分，记录调整原因。,0.2,0.5,0.5,0.3
管理端-积分管理页面,积分报表导出,导出积分报表为Excel格式，包含积分排名和明细数据。,0.2,0.5,0.8,0.3
管理端-积分管理页面,积分规则配置,配置积分规则，自定义各项行为的积分奖励（如完成学习资料、考试及格、连续学习等）。,0.3,0.8,1,0.5
管理端-统计分析页面,答题概览统计,展示员工答题情况总体概览，包括总考试次数、总参与人次、平均分、及格率等核心指标，支持按时间范围筛选。,0.5,1.5,1.5,0.5
管理端-统计分析页面,成绩统计,统计平均分、通过率等数据，展示平均分趋势图（按日/周/月）、分数段人数分布（柱状图）、及格率统计（饼图），支持按考试、部门、时间筛选。,0.3,1,1.5,0.5
管理端-统计分析页面,错题分析,分析错题分布情况，展示错题排行榜（Top10错误率最高）、按分类和难度的错题分布，点击题目查看详情，支持导出错题报告。,0.3,1,1,0.5
管理端-统计分析页面,部门对比,对比各部门答题情况，展示各部门平均分、参与率、及格率，支持多部门对比（表格或雷达图）、部门排名，支持按时间筛选。,0.3,1,1.2,0.5
管理端-统计分析页面,个人详情,查看个人答题详情，展示员工基本信息、参与考试列表、各考试成绩、错题汇总，支持搜索员工，查看答题详情。,0.2,0.8,0.5,0.3
管理端-统计分析页面,数据可视化,使用图表展示统计数据，包括柱状图（分数段分布、部门对比）、折线图（趋势分析）、饼图（占比分析）、雷达图（多维度对比），支持交互和导出。,0.5,2,0.5,0.8
管理端-统计分析页面,趋势分析,展示月度考试趋势，通过折线图展示考试数量、参与人数、平均分等指标的变化趋势。,0.2,0.8,1,0.3
管理端-数据导出页面,统计数据导出,导出统计数据为Excel格式，支持选择导出内容（概览、成绩统计、错题分析、部门对比等）和时间范围。,0.3,0.8,1.5,0.5
管理端-数据导出页面,答题记录导出,导出员工答题记录，支持按考试、部门、时间筛选，支持选择导出字段，生成包含员工信息、考试信息、成绩等的Excel文件。,0.2,0.5,1,0.3
管理端-数据导出页面,题库导出,导出题目库数据，支持按分类、题型、难度筛选，支持Excel/CSV格式导出。,0.2,0.5,1,0.3
管理端-数据导出页面,导出历史记录,查看导出历史记录，包含导出时间、操作人、数据量、文件下载链接。,0.2,0.5,0.5,0.3
小程序-登录页面,账号登录,员工通过工号/账号登录小程序，包含表单验证、微信登录openid获取、Token存储和跳转。,0.3,1,0.5,0.5
小程序-登录页面,密码找回,找回密码功能，输入工号验证身份，通过手机号验证码或密保问题验证，验证通过后设置新密码。,0.2,0.8,0.8,0.3
小程序-登录页面,登录状态保持,记住登录状态，Token存储到本地存储，启动时检查Token有效性，无效则跳转登录页。,0.2,0.5,0.3,0.2
小程序-考试列表页面,考试列表展示,展示员工可参与的考试和练习列表，显示考试名称、类型、状态、时间、时长，区分进行中/未开始/已结束的考试，支持下拉刷新和上拉加载。,0.3,1.2,0.8,0.5
小程序-考试列表页面,考试详情查看,查看考试详细信息，包括考试名称、说明、时间、时长、总分、及格分数、题目数量、状态，根据状态显示不同操作按钮（开始答题/查看成绩）。,0.2,0.8,0.3,0.3
小程序-考试列表页面,筛选搜索,筛选和搜索考试功能，支持按类型（考试/练习）和状态（未开始/进行中/已结束）筛选，按考试名称搜索。,0.2,0.8,0.5,0.3
小程序-在线答题页面,答题界面,展示题目和选项，记录用户答案，支持单选题、多选题、判断题，显示答题进度，支持答案修改。,0.5,2,1,1
小程序-在线答题页面,题目导航,题目导航功能，支持上一题/下一题跳转，显示所有题号列表（已答/未答/当前题标记），点击题号跳转指定题目。,0.3,1,0.3,0.5
小程序-在线答题页面,标记功能,标记题目功能，支持标记和取消标记，标记状态在题目导航中显示，方便回顾。,0.2,0.5,0.3,0.3
小程序-在线答题页面,倒计时,考试时间倒计时，显示剩余时间，时间不足5分钟红色警示，时间到自动提交试卷。,0.2,0.8,0.5,0.3
小程序-在线答题页面,答案提交,提交答案功能，点击提交确认，显示未答题数量提示，提交成功后跳转到结果页面，支持网络异常时本地保存。,0.3,0.8,1,0.5
小程序-答题结果页面,成绩展示,显示考试得分和是否及格，突出显示得分，展示考试名称、总分、及格分数、答题用时，根据是否及格显示不同提示。,0.2,0.8,0.5,0.3
小程序-答题结果页面,答案查看,查看正确和错误的题目，展示作答情况（正确/错误/未答标记），支持筛选查看（全部/正确/错误/未答），点击查看详情。,0.3,1,0.5,0.5
小程序-答题结果页面,题目解析,查看题目解析说明，点击题目展示解析内容（题目内容、选项、正确答案、解析说明），支持滑动切换题目。,0.2,0.8,0.3,0.3
小程序-答题结果页面,重新答题,重新参加考试功能，仅在允许重考时显示，确认后清空答案重新答题，扣减剩余重考次数。,0.1,0.3,0.2,0.2
小程序-历史记录页面,历史记录列表,查看历史答题记录列表，显示考试名称、考试时间、得分、是否及格，按时间倒序排列，支持下拉刷新和上拉加载。,0.3,1,0.8,0.5
小程序-历史记录页面,历史成绩查看,查看历史考试详细成绩，展示考试信息、得分、答题用时、答题详情。,0.2,0.5,0.3,0.3
小程序-历史记录页面,错题本,查看历史错题汇总，展示所有答错的题目，支持按考试和分类筛选，支持查看解析，支持移除已掌握的错题。,0.3,1,0.8,0.5
小程序-历史记录页面,时间筛选,按时间筛选历史记录，支持快捷选择（最近一周/一月/三月）和自定义时间范围。,0.2,0.5,0.3,0.3
小程序-历史记录页面,结果筛选,按考试结果筛选历史记录，支持按通过/未通过筛选。,0.2,0.3,0.3,0.2
小程序-学习资料页面,资料列表展示,查看学习资料列表，按考试分组展示，显示资料标题、类型、关联考试、学习状态、进度等信息。,0.3,1.2,0.8,0.5
小程序-学习资料页面,资料学习,查看和学习资料，支持PDF预览、图片查看、视频播放，记录学习进度。,0.3,1.5,0.5,0.5
小程序-学习资料页面,学习进度标记,标记学习状态（未开始/学习中/已完成），显示学习进度百分比。,0.2,0.5,0.5,0.3
小程序-学习资料页面,考试提醒,显示关联考试的时间倒计时，提醒员工考试时间。,0.2,0.5,0.3,0.2
小程序-我的积分页面,当前积分,查看当前可用积分、历史累计积分、连续学习天数等信息。,0.2,0.8,0.5,0.3
小程序-我的积分页面,积分记录,查看积分获取记录，显示积分来源、时间、数量等详细信息。,0.2,0.8,0.5,0.3
小程序-我的积分页面,积分排名,查看积分排名，显示个人排名位置和前几名员工的积分情况。,0.2,0.8,0.5,0.3
公共模块,数据库设计,整体数据库表结构设计，包括用户表、角色权限表、题目表、选项表、分类表、考试表、考试题目关联表、答题记录表、答题详情表、模板表、学习资料表、积分记录表等，设计关联关系、索引优化，编写初始化脚本。,1,0,2,0.5
公共模块,接口文档,API接口文档编写，定义请求路径、方法、参数、返回数据结构和错误码说明。,0.5,0.5,1,0.3
公共模块,项目搭建,前后端项目初始化搭建，包括技术框架选型、项目结构搭建、数据库/缓存配置、认证/权限/日志等公共模块配置。,0.3,1,1,0.3
公共模块,部署上线,项目部署和上线，包括服务器配置、环境安装、Nginx反向代理、HTTPS证书、应用部署、日志监控、小程序上传审核发布。,0.3,0.5,1,0.5
,,,,,,
合计（人天）,,-,18.6,49.3,46.3,25.8
